base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,The teacher adjusts teaching to the level of students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills,Students collaborate with one another
1104488,last,BaseEvaluator,Y,N/A,N/A,N/A,3,N/A,L,N/A,N/A,N/A,L,L,L,L,N/A,N/A,L,M,2,N/A,N/A,N/A,L,N/A,L,2,N/A,L,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,M
1104488,first,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,H,M,3,M,M,M,L,3,M,M,N/A,3,M,M,2,M,M,M,2,M,M,M,2,M,M,M,N/A,M,M,L,M
259358,first,BaseEvaluator,Y,H,Y,H,3,H,M,M,M,3,H,M,M,M,4,M,M,M,3,M,M,N/A,M,M,M,2,M,M,M,N/A,M,N/A,M,3,M,M,M,M
256776,first,BaseEvaluator,Y,M,Y,N/A,3,H,M,M,M,2,M,L,M,L,3,M,M,N/A,3,M,N/A,N/A,M,M,M,2,M,L,M,3,M,N/A,M,2,M,L,M,M
259358,last,BaseEvaluator,Y,H,Y,L,2,M,M,M,M,2,L,M,M,M,3,M,M,M,3,M,M,2,M,M,H,3,L,L,H,N/A,M,M,M,1,M,M,M,M
492108,last,BaseEvaluator,Y,M,Y,M,1,L,M,M,N/A,2,M,M,L,M,3,L,L,H,3,M,M,3,L,L,M,3,L,L,M,3,M,M,L,N/A,L,M,M,H
492108,first,BaseEvaluator,Y,M,Y,L,3,M,M,M,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,L,M,3,M,L,H,3,M,M,H,2,M,L,M,M
358317,last,BaseEvaluator,Y,N/A,Y,M,3,M,H,M,M,2,M,L,L,M,2,M,M,H,3,M,M,2,M,M,M,3,M,H,H,N/A,M,H,H,N/A,M,M,M,H
361337,last,BaseEvaluator,Y,H,Y,N/A,3,H,M,M,M,3,L,M,M,L,2,M,M,H,2,M,M,3,L,L,M,2,M,L,M,N/A,M,M,M,N/A,M,L,M,M
361337,first,BaseEvaluator,Y,N/A,Y,H,3,H,M,M,M,2,M,M,M,M,2,M,M,M,3,M,N/A,N/A,M,M,M,3,M,L,L,2,N/A,L,N/A,N/A,M,M,M,M
393322,last,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
415992,first,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,N/A,M,2,H,M,M,M,3,M,M,M,2,M,M,2,M,M,M,3,M,L,L,3,M,L,M,N/A,M,L,M,N/A
237990,last,BaseEvaluator,N/A,N/A,N/A,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M
237990,first,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,N/A,M,2,M,L,M,M,2,M,M,N/A,2,L,N/A,2,M,M,M,2,L,L,M,3,M,N/A,M,N/A,M,M,M,M
416594,last,BaseEvaluator,Y,N/A,Y,M,3,H,H,M,M,3,M,M,M,L,3,M,M,H,3,M,M,3,M,M,M,3,M,L,M,3,H,M,H,N/A,M,M,M,M
238089,last,BaseEvaluator,Y,M,Y,M,3,H,M,N/A,M,3,M,M,M,L,2,M,M,H,3,M,M,2,M,M,M,3,M,L,M,3,M,M,M,2,M,M,M,H
283416,first,BaseEvaluator,Y,H,N,N/A,3,H,M,N/A,M,2,L,N/A,L,L,N/A,M,M,N/A,3,M,N/A,3,L,L,L,2,M,M,M,2,M,M,N/A,3,M,N/A,M,N/A
283416,last,BaseEvaluator,Y,M,Y,L,3,M,L,M,M,1,L,L,L,L,2,L,L,L,2,L,N/A,N/A,L,L,L,2,L,L,M,N/A,L,M,L,N/A,M,M,M,M
283598,first,BaseEvaluator,Y,H,N/A,N/A,3,H,M,H,M,3,L,M,M,L,3,M,M,N/A,3,M,M,2,M,M,M,3,M,L,L,3,M,M,M,N/A,N/A,L,M,M
283598,last,BaseEvaluator,Y,M,Y,L,3,M,M,M,M,3,L,L,L,L,3,M,M,M,3,M,M,3,M,H,M,3,M,L,H,3,M,M,M,N/A,M,M,M,M
411355,last,BaseEvaluator,Y,H,Y,M,3,H,H,H,M,2,M,M,M,M,2,M,M,M,3,M,M,2,M,L,M,3,L,L,L,3,M,M,M,N/A,M,L,M,L
411355,first,BaseEvaluator,Y,H,Y,N/A,3,H,H,N/A,M,2,M,M,M,L,3,M,M,N/A,3,M,N/A,3,L,M,M,2,L,L,M,3,M,M,H,N/A,M,L,M,N/A
226480,last,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
226480,first,BaseEvaluator,Y,N/A,Y,M,3,H,M,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,2,L,M,M,2,M,L,M,3,M,M,M,L
306753,first,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,M,L,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,L,L,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A
306753,last,BaseEvaluator,Y,L,Y,L,3,M,L,M,M,N/A,M,M,N/A,L,N/A,L,N/A,M,N/A,L,M,2,L,L,N/A,N/A,L,L,M,2,M,M,M,N/A,M,N/A,L,M
312793,first,BaseEvaluator,Y,H,Y,H,3,H,H,M,M,2,M,M,M,N/A,3,M,M,M,3,M,M,2,M,M,H,4,M,L,M,3,M,M,M,N/A,M,L,M,M
312793,last,BaseEvaluator,Y,N/A,Y,N/A,3,H,H,M,M,2,M,L,L,L,N/A,M,M,M,3,M,M,2,M,L,M,2,M,H,M,2,M,M,M,N/A,M,M,M,M
320978,first,BaseEvaluator,Y,M,Y,N/A,3,M,M,M,M,2,M,M,M,L,3,M,M,L,3,M,L,2,M,M,M,3,M,L,L,2,M,L,M,N/A,M,L,M,L
321356,first,BaseEvaluator,Y,L,Y,N/A,2,M,L,N/A,N/A,N/A,L,N/A,L,N/A,1,L,M,M,N/A,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,L,2,N/A,N/A,N/A,N/A,N/A,L,L,M
723288,first,BaseEvaluator,Y,N/A,Y,N/A,3,H,H,N/A,M,3,M,M,M,M,3,M,M,N/A,3,M,M,3,M,M,M,3,M,L,L,3,M,M,M,N/A,N/A,L,L,N/A
723288,last,BaseEvaluator,Y,H,Y,H,3,M,M,N/A,M,2,L,L,L,L,3,M,M,M,3,M,M,2,M,M,L,3,L,L,L,2,M,M,M,N/A,M,M,M,M
1126747,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,2,M,M,M,M,3,M,M,N/A,3,M,M,2,M,M,H,3,L,L,L,3,M,N/A,M,N/A,M,L,N/A,M
1422534,last,BaseEvaluator,Y,H,Y,H,3,M,L,N/A,M,2,L,M,M,L,1,N/A,N/A,M,2,M,N/A,2,L,N/A,M,2,L,L,L,N/A,M,L,N/A,N/A,M,M,L,M
1597251,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,3,H,M,M,L,3,M,M,N/A,3,M,M,2,M,M,M,1,M,L,L,3,M,M,M,2,M,N/A,M,N/A
1597251,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,N/A,M,1,M,M,L,L,2,L,L,M,1,L,N/A,1,L,L,L,2,L,L,L,N/A,M,L,M,2,L,L,L,N/A
383760,first,BaseEvaluator,Y,N/A,N/A,N/A,3,H,M,N/A,M,2,M,M,M,N/A,2,M,M,N/A,1,L,N/A,2,L,M,L,2,L,L,L,2,M,M,M,N/A,M,L,M,M
389817,last,BaseEvaluator,Y,N/A,Y,H,3,M,L,N/A,M,2,L,M,M,L,3,L,L,M,3,M,M,2,L,L,L,2,L,L,L,N/A,M,N/A,M,N/A,L,L,N/A,L
383760,last,BaseEvaluator,Y,N/A,Y,N/A,3,M,L,M,M,2,L,M,L,M,2,L,L,L,2,M,L,2,L,M,M,1,L,L,L,1,M,L,M,1,L,L,M,L
389163,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,2,M,M,M,M,2,M,M,N/A,3,M,N/A,2,M,M,M,2,M,M,L,3,M,M,M,2,L,L,M,N/A
447789,first,BaseEvaluator,N,N/A,N,N/A,3,M,M,N/A,M,1,L,N/A,L,L,N/A,L,L,N/A,2,L,N/A,2,L,L,N/A,1,L,M,M,3,N/A,L,M,N/A,M,L,M,N/A
444869,last,BaseEvaluator,Y,M,Y,M,3,M,L,M,M,1,M,L,L,L,2,L,M,M,3,L,M,1,L,L,L,1,L,M,L,2,M,M,M,N/A,L,L,L,M
447268,first,BaseEvaluator,Y,H,Y,H,3,H,M,M,M,2,M,M,M,N/A,3,M,M,M,3,M,M,2,M,M,M,4,M,N/A,L,3,M,M,M,N/A,M,N/A,M,N/A
556704,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,3,H,M,M,M,3,M,M,M,3,M,N/A,2,M,M,M,2,M,L,L,2,M,N/A,H,N/A,M,L,M,N/A
556704,last,BaseEvaluator,Y,N/A,Y,L,3,M,M,M,M,1,L,L,L,M,N/A,L,L,M,2,M,N/A,2,L,L,L,1,L,L,L,N/A,M,M,M,N/A,M,M,M,M
652768,last,BaseEvaluator,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,M,N/A,N/A,N/A,N/A,N/A,L,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M,N/A,M
588111,first,BaseEvaluator,Y,M,Y,N/A,3,M,L,N/A,M,2,H,M,M,N/A,3,L,L,N/A,N/A,L,N/A,N/A,L,L,L,1,M,L,M,2,N/A,N/A,N/A,3,L,L,M,N/A
588111,last,BaseEvaluator,Y,N/A,Y,M,3,H,M,N/A,M,3,M,M,M,M,2,M,M,M,3,M,M,3,M,M,M,4,M,L,H,1,M,M,H,N/A,M,M,M,N/A
784199,first,BaseEvaluator,Y,H,N/A,N/A,3,H,L,N/A,M,2,L,M,M,N/A,3,M,M,N/A,1,L,M,2,M,M,M,2,L,L,L,N/A,L,L,N/A,N/A,L,L,L,N/A
1109818,first,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,N/A,M,3,M,M,M,M,2,M,M,N/A,N/A,N/A,N/A,N/A,M,L,M,2,L,L,L,N/A,M,N/A,M,N/A,L,L,N/A,N/A
1109818,last,BaseEvaluator,Y,N/A,Y,N/A,3,H,M,N/A,M,3,M,M,M,L,2,L,L,M,2,M,M,2,L,L,L,2,L,L,L,2,M,M,M,N/A,L,L,L,N/A
207258,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,2,M,M,M,L,3,M,M,N/A,3,M,M,2,M,L,M,3,L,L,L,N/A,N/A,L,M,N/A,M,L,M,N/A
232512,first,BaseEvaluator,Y,N/A,Y,H,3,H,L,N/A,M,3,M,M,M,N/A,3,M,M,N/A,3,M,M,2,M,M,M,2,L,L,L,3,M,M,M,2,M,L,M,M
408856,last,BaseEvaluator,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
233692,first,BaseEvaluator,Y,N/A,Y,N/A,3,M,M,N/A,M,2,M,M,M,L,2,M,L,M,3,M,M,2,L,L,N/A,2,L,L,L,N/A,M,N/A,M,N/A,M,M,M,M
410712,first,BaseEvaluator,Y,H,Y,H,3,H,M,N/A,M,2,H,M,M,L,3,M,M,M,3,M,M,2,L,M,M,2,L,L,L,3,M,M,H,2,M,M,M,M
410712,last,BaseEvaluator,Y,H,Y,H,3,H,M,N/A,M,3,H,M,M,M,3,M,M,M,3,M,M,2,L,M,M,3,L,M,H,3,M,M,M,2,M,L,M,M
487124,first,BaseEvaluator,Y,M,Y,N/A,3,N/A,L,N/A,M,N/A,L,L,M,N/A,N/A,M,M,M,N/A,M,N/A,N/A,L,M,L,2,L,L,L,1,N/A,N/A,N/A,N/A,M,N/A,L,M
587147,first,BaseEvaluator,Y,H,Y,N/A,3,H,M,N/A,M,3,H,M,M,L,2,M,M,N/A,3,M,M,N/A,M,M,M,2,M,L,M,2,N/A,N/A,M,1,M,L,M,N/A
