School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,The teacher adjusts teaching to the level of students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
259358 Clip 1,259358,first,1-BaseEvaluator_evaluations,Y,M,Y,H,3,H,M,H,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,M,H,3,M,L,M,2,M,M,M
1104488 Clip 2,1104488,last,1-BaseEvaluator_evaluations,Y,M,N/A,M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,1,N/A,M,N/A
1104488 Clip 1,1104488,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,H,M,2,M,M,M,M,2,M,M,M,3,M,L,2,L,M,M,3,M,M,M,3,M,M,M,2,M,M,M
492108 Clip 2,492108,last,1-BaseEvaluator_evaluations,Y,L,Y,H,1,L,H,M,M,2,L,M,L,M,3,M,M,H,2,M,M,2,M,L,M,3,M,L,L,3,L,M,L,N/A,M,M,M
259358 Clip 2,259358,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,M,H,M,M,2,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,H,H,1,M,M,M,N/A,M,M,M
492108 Clip 1,492108,first,1-BaseEvaluator_evaluations,Y,M,Y,M,3,M,M,M,M,3,M,M,M,M,2,M,M,M,2,M,M,2,L,M,M,3,M,L,M,2,M,M,H,3,M,M,M
358317 Clip 2,358317,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,M,M,M,M,2,L,M,M,M,3,M,M,M,3,M,M,2,M,M,H,3,H,H,M,3,M,M,H,N/A,M,M,M
361337 Clip 1,361337,first,1-BaseEvaluator_evaluations,N,H,Y,H,3,H,M,M,M,3,H,M,M,L,3,M,M,M,3,M,N/A,N/A,L,M,M,3,L,L,L,3,M,N/A,M,N/A,M,M,M
361337 Clip 2,361337,last,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,2,L,M,M,M,2,L,L,M,2,M,M,2,L,M,M,2,L,L,H,3,M,M,M,N/A,M,M,M
393322 Clip 2,393322,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
256776 Clip 1,256776,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,H,M,H,M,3,M,M,M,L,3,M,M,N/A,3,M,N/A,2,M,M,M,3,M,L,M,3,N/A,N/A,M,3,M,L,M
416594 Clip 2,416594,last,1-BaseEvaluator_evaluations,Y,H,Y,M,3,H,H,H,M,3,M,M,M,M,4,M,M,H,3,M,M,2,M,L,M,3,M,L,M,3,M,M,H,N/A,M,N/A,M
415992 Clip 1,415992,first,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,M,N/A,M,2,M,M,M,M,3,M,M,M,N/A,M,N/A,2,M,M,M,3,M,L,M,2,M,M,M,2,M,M,M
237990 Clip 2,237990,last,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,M,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,L,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
237990 Clip 1,237990,first,1-BaseEvaluator_evaluations,Y,H,Y,N/A,3,M,M,N/A,M,2,M,M,M,M,2,M,M,N/A,3,M,M,2,M,M,M,2,M,L,M,2,N/A,L,M,N/A,M,M,M
238089 Clip 2,238089,last,1-BaseEvaluator_evaluations,Y,M,Y,N/A,3,H,M,N/A,M,3,M,M,M,M,3,M,M,M,3,M,M,3,M,M,M,3,L,L,M,N/A,M,M,M,2,M,M,M
283416 Clip 1,283416,first,1-BaseEvaluator_evaluations,N,H,N/A,H,3,H,M,N/A,M,2,L,M,L,L,N/A,M,M,N/A,2,M,N/A,2,L,L,N/A,2,M,L,M,3,N/A,M,M,2,M,N/A,M
283416 Clip 2,283416,last,1-BaseEvaluator_evaluations,Y,L,Y,M,3,M,L,N/A,M,1,L,N/A,N/A,L,2,L,L,M,1,L,N/A,1,L,L,L,1,L,L,M,N/A,L,M,M,1,M,M,M
411355 Clip 1,411355,first,1-BaseEvaluator_evaluations,Y,H,Y,H,3,H,H,N/A,M,3,M,M,M,L,3,M,M,N/A,2,M,N/A,2,M,M,M,2,L,L,M,2,M,M,H,N/A,M,L,M
283598 Clip 1,283598,first,1-BaseEvaluator_evaluations,Y,N/A,N/A,N/A,3,H,M,H,M,3,M,H,M,M,3,M,M,N/A,3,M,M,2,M,M,M,3,L,L,L,3,M,N/A,M,N/A,M,N/A,N/A
283598 Clip 2,283598,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,M,M,M,M,3,M,M,L,M,3,M,M,H,3,M,M,2,M,M,M,3,L,L,H,3,M,M,M,N/A,M,M,L
306753 Clip 1,306753,first,1-BaseEvaluator_evaluations,N/A,N/A,N/A,N/A,N/A,N/A,L,H,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,M
411355 Clip 2,411355,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,H,H,M,3,M,M,M,M,3,M,M,M,3,M,M,2,M,M,M,3,M,L,H,3,M,M,M,N/A,M,M,M
306753 Clip 2,306753,last,1-BaseEvaluator_evaluations,Y,N/A,Y,M,3,M,L,M,M,N/A,L,M,L,L,N/A,L,N/A,M,1,M,M,N/A,L,L,N/A,N/A,L,L,L,N/A,M,L,L,1,N/A,M,L
312793 Clip 1,312793,first,1-BaseEvaluator_evaluations,Y,H,Y,H,4,H,H,M,M,3,M,H,M,N/A,3,M,M,N/A,3,M,M,2,M,M,M,4,H,M,H,3,M,M,H,N/A,M,M,M
312793 Clip 2,312793,last,1-BaseEvaluator_evaluations,Y,N/A,Y,N/A,3,H,H,H,M,2,M,M,M,L,3,M,M,H,3,M,M,2,M,M,M,3,M,H,M,N/A,M,M,M,N/A,M,M,M
