School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Teacher provides learning activity - 3rd Snapshot,Students are on task - 3rd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Positive Behavioral Expectations,The teacher sets clear behavioral expectations,The teacher acknowledges positive student behavior,The teacher redirects misbehavior,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
1104488 Clip 2,1104488,last,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,M,N/A,N/A,M,1,N/A,L,N/A,3,L,M,M,L,N/A,N/A,N/A,L,M,N/A,L,L,N/A,N/A,3,L,M,L,2,N/A,L,N/A,1,L,N/A,N/A
256776 Clip 1,256776,first,BaseEvaluator-Validate,Y,L,Y,M,Y,M,4,H,M,H,M,3,M,L,H,3,M,M,M,L,3,M,M,L,M,L,M,M,M,M,3,M,M,M,3,M,L,M,3,M,M,M
1104488 Clip 1,1104488,first,BaseEvaluator-Validate,Y,N/A,Y,H,Y,N/A,3,H,M,H,M,3,M,M,M,3,M,M,M,M,3,L,M,L,M,M,M,L,M,M,3,M,M,M,3,H,M,H,1,M,M,M
259358 Clip 1,259358,first,BaseEvaluator-Validate,Y,M,Y,M,Y,M,4,H,M,H,M,4,M,L,H,3,M,M,M,M,3,M,M,M,M,M,M,M,L,M,3,M,M,H,3,M,M,M,3,M,M,M
259358 Clip 2,259358,last,BaseEvaluator-Validate,Y,M,Y,L,Y,L,3,H,M,H,M,3,M,M,M,3,M,M,M,M,3,L,M,H,M,M,M,M,M,M,3,M,H,H,2,M,M,L,1,M,M,M
492108 Clip 1,492108,first,BaseEvaluator-Validate,Y,M,Y,M,Y,L,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,L,M,M,M,M,M,L,L,M,3,M,L,H,N/A,M,M,M,1,M,M,M
492108 Clip 2,492108,last,BaseEvaluator-Validate,Y,L,Y,M,Y,L,1,L,M,M,M,3,M,M,M,3,L,M,L,M,3,M,M,H,M,H,M,M,M,M,3,M,L,L,5,L,M,L,1,M,M,M
358317 Clip 2,358317,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,L,4,H,M,M,M,3,M,M,M,3,L,M,M,M,3,L,M,L,M,M,M,M,M,M,3,M,H,M,3,M,H,M,1,M,M,M
361337 Clip 1,361337,first,BaseEvaluator-Validate,Y,N/A,Y,M,Y,H,4,H,M,M,M,2,M,M,M,3,M,M,H,L,3,L,M,L,M,L,M,M,M,M,3,M,L,L,3,M,L,H,1,M,M,M
393322 Clip 2,393322,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,N/A,N/A,N/A,N/A,N/A,L,L,N/A
361337 Clip 2,361337,last,BaseEvaluator-Validate,Y,N/A,Y,M,Y,M,5,H,M,H,M,3,M,M,M,3,L,M,M,L,3,L,M,H,M,M,M,L,L,M,3,L,L,H,3,M,M,M,1,M,M,M
415992 Clip 1,415992,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,4,H,L,N/A,M,3,M,M,M,3,M,M,M,L,3,M,M,M,M,M,M,M,M,M,3,M,M,L,3,N/A,M,M,1,L,M,M
416594 Clip 2,416594,last,BaseEvaluator-Validate,Y,M,Y,M,Y,H,4,H,H,H,M,3,M,M,H,3,M,M,M,M,3,L,M,H,M,M,M,M,M,M,3,M,L,H,3,H,M,H,3,M,M,H
237990 Clip 1,237990,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,3,H,L,N/A,M,3,M,L,M,3,M,M,M,M,3,L,M,L,M,L,M,M,M,M,3,L,M,H,3,M,L,M,1,M,M,M
237990 Clip 2,237990,last,BaseEvaluator-Validate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,L,L,N/A,N/A,L,N/A,L,L,N/A,N/A,N/A,L,N/A,L,L,L,N/A,N/A,1,L,L,L,N/A,N/A,N/A,N/A,1,L,L,N/A
238089 Clip 2,238089,last,BaseEvaluator-Validate,Y,L,Y,L,Y,L,4,H,M,N/A,M,3,M,M,M,3,M,M,M,M,3,L,M,H,M,M,M,M,M,M,3,M,L,H,3,M,M,M,3,M,M,M
283416 Clip 1,283416,first,BaseEvaluator-Validate,Y,N/A,Y,N/A,Y,N/A,5,H,M,N/A,M,5,H,M,M,3,L,M,L,L,3,M,M,L,M,M,M,L,M,M,3,M,L,M,3,M,L,M,1,L,L,M
283416 Clip 2,283416,last,BaseEvaluator-Validate,Y,M,Y,L,Y,L,4,M,L,N/A,M,3,M,M,M,3,L,M,L,L,3,L,L,L,M,L,L,L,N/A,L,1,L,L,H,1,M,M,L,1,M,M,L
283598 Clip 1,283598,first,BaseEvaluator-Validate,Y,N/A,Y,H,N/A,N/A,5,H,M,N/A,M,3,M,M,M,3,M,M,M,L,3,M,H,H,M,M,M,M,M,M,3,M,L,L,3,N/A,M,M,1,L,L,M
283598 Clip 2,283598,last,BaseEvaluator-Validate,Y,M,Y,L,Y,L,4,H,M,M,M,3,M,H,M,3,L,M,M,L,3,M,M,L,M,M,M,M,M,M,3,L,L,H,N/A,L,M,L,1,L,M,M
411355 Clip 1,411355,first,BaseEvaluator-Validate,Y,M,Y,N/A,Y,N/A,5,H,M,N/A,M,3,M,M,M,3,M,M,M,L,3,M,L,N/A,M,M,M,L,M,M,3,L,L,L,3,H,M,H,1,L,L,L
411355 Clip 2,411355,last,BaseEvaluator-Validate,Y,H,Y,M,Y,M,4,H,M,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,M,L,L,M,1,M,L,H,3,N/A,M,H,1,L,L,H
