School_Clip,base_id,clip_number,model_name,Teacher provides learning activity - 1st Snapshot,Students are on task - 1st Snapshot,Teacher provides learning activity - 2nd Snapshot,Students are on task - 2nd Snapshot,Teacher provides learning activity - 3rd Snapshot,Students are on task - 3rd Snapshot,Supportive Learning Environment,The teacher treats all students respectfully,The teacher uses positive language,The teacher responds to students needs,The teacher does not exhibit gender bias,Positive Behavioral Expectations,The teacher sets clear behavioral expectations,The teacher acknowledges positive student behavior,The teacher redirects misbehavior,Lesson Facilitation,The teacher explicitly articulates learning objectives,The teacher's explanation of content is clear,The teacher makes connections in the lesson,The teacher models by enacting or thinking aloud,Checks for understanding,The teacher uses questions,The teacher uses prompts,The teacher monitors most students,Feedback,The teacher provides specific comments for misunderstandings,The teacher provides specific comments for successes,Critical Thinking,The teacher asks open-ended questions,The teacher provides thinking tasks,Students ask open-ended questions or perform thinking tasks,Autonomy,The teacher provides students with choices,The teacher provides students with opportunities to take meaningful roles,Students volunteer to participate in the classroom,Perseverance,The teacher acknowledges students' efforts,The teacher has a positive attitude towards students' challenges,The teacher encourages goal-setting,Social & Collaborative Skills,The teacher promotes students' collaboration,The teacher promotes students' interpersonal skills
1104488 Clip 2,1104488,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,3,M,L,H,M,1,L,L,H,3,L,M,M,L,1,M,M,L,M,L,1,L,L,M,3,L,M,L,3,L,L,M,1,L,M,L
1104488 Clip 1,1104488,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,2,L,M,M,3,M,M,M,3,M,M,H,1,M,M,M
256776 Clip 1,256776,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,M,Y,M,4,H,M,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,2,M,M,M,3,L,M,M,2,M,L,M,1,M,L,M
259358 Clip 1,259358,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,H,M,5,M,L,M,3,M,M,M,M,3,M,M,H,M,M,1,M,M,M,3,M,M,H,3,H,L,H,3,M,M,M
492108 Clip 1,492108,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,M,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,2,M,M,M,3,M,L,H,3,M,M,M,1,M,M,M
259358 Clip 2,259358,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,L,4,M,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,H,M,M,3,M,M,M,3,M,M,H,3,M,M,M,1,M,M,M
358317 Clip 2,358317,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,M,Y,L,4,H,L,M,M,3,M,L,M,3,L,L,M,M,3,M,M,M,M,M,3,M,M,M,3,M,H,H,3,M,M,M,1,M,M,M
492108 Clip 2,492108,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,L,4,L,M,M,M,3,M,M,M,3,M,M,L,M,3,L,M,H,M,M,2,L,M,M,3,L,L,L,2,L,M,L,1,L,M,M
393322 Clip 2,393322,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,L,N,L,N,H,3,H,L,H,M,1,L,L,M,3,L,H,L,L,1,L,L,L,M,L,1,L,L,M,1,L,L,L,1,L,L,L,1,L,L,L
361337 Clip 2,361337,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,H,M,1,M,M,M,3,M,M,M,L,3,L,M,H,M,M,2,L,M,L,3,L,L,H,2,M,M,M,3,M,M,L
361337 Clip 1,361337,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,M,4,H,M,M,M,3,L,M,M,3,M,M,M,L,3,M,L,L,M,L,1,M,M,M,3,M,M,L,2,M,M,M,1,M,M,M
415992 Clip 1,415992,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,H,H,M,3,M,M,M,3,H,M,M,L,3,M,M,L,M,M,3,L,M,M,3,M,M,L,3,L,M,M,1,M,M,M
237990 Clip 2,237990,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,3,M,L,H,M,1,L,L,H,1,L,M,L,L,1,M,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,M,1,L,M,L
237990 Clip 1,237990,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,L,3,H,L,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,L,2,M,M,M,3,L,L,H,3,M,L,M,1,M,M,L
416594 Clip 2,416594,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,M,Y,H,4,H,M,H,M,3,M,M,H,3,M,M,M,M,3,M,M,H,M,M,3,M,M,M,3,M,H,M,3,H,M,H,1,M,M,H
238089 Clip 2,238089,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,L,Y,L,4,H,M,M,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,3,M,M,M,3,M,L,H,3,M,M,M,3,M,M,M
283416 Clip 1,283416,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,L,N,H,4,H,M,H,M,3,M,M,H,3,L,M,L,L,3,M,M,L,M,L,2,L,M,L,3,M,M,M,3,M,M,M,1,L,L,M
283598 Clip 1,283598,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,N,H,4,H,M,H,M,3,L,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,L,L,L,5,M,L,M,1,M,L,L
283416 Clip 2,283416,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,4,H,M,M,M,3,M,M,M,3,L,M,L,L,3,L,L,L,M,L,1,L,L,L,1,L,L,H,2,L,M,L,1,M,M,L
283598 Clip 2,283598,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,H,Y,H,4,H,M,M,M,3,L,M,M,3,L,M,L,L,3,M,M,L,M,M,3,M,M,M,3,L,L,L,2,M,M,L,1,L,L,L
411355 Clip 1,411355,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,N,L,4,H,H,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,L,L,H,3,M,M,H,1,L,L,L
411355 Clip 2,411355,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,H,H,H,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,2,M,L,M,3,L,L,L,3,H,M,H,1,L,L,H
226480 Clip 2,226480,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,L,N,M,N,L,3,M,L,H,M,1,L,L,H,1,L,L,L,L,1,L,L,L,L,L,1,L,L,M,1,L,L,L,1,M,L,L,1,L,L,L
226480 Clip 1,226480,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,L,Y,M,4,H,M,H,M,3,M,M,H,3,H,M,M,L,3,M,M,L,M,L,3,M,M,M,3,M,H,H,3,M,M,M,3,M,L,M
306753 Clip 1,306753,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,N,L,N,M,N,L,3,H,L,H,L,3,L,L,M,3,L,L,L,L,1,M,L,L,L,L,1,L,L,M,1,L,L,L,1,L,L,L,1,L,L,L
312793 Clip 1,312793,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,H,H,H,M,3,M,M,M,3,M,M,M,L,3,M,M,L,M,L,3,M,M,M,3,M,L,L,4,M,M,M,1,L,M,M
306753 Clip 2,306753,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,L,Y,L,4,L,L,M,M,1,L,L,M,3,L,M,L,L,3,L,L,L,M,M,1,L,L,M,3,L,L,L,2,M,L,L,1,L,M,L
312793 Clip 2,312793,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,H,4,H,H,H,M,3,M,M,M,3,M,M,M,M,3,M,M,M,M,L,2,M,M,M,3,M,M,H,3,M,M,H,3,M,M,M
320978 Clip 1,320978,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,L,Y,M,Y,M,4,H,M,M,M,3,M,M,H,3,M,M,M,L,3,M,M,L,M,M,3,M,M,M,3,M,L,L,3,M,L,M,1,M,L,M
321356 Clip 1,321356,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,M,3,M,L,L,M,3,L,L,L,3,L,L,L,L,1,L,L,L,L,L,1,L,L,M,1,L,L,L,2,L,L,M,1,L,L,L
723288 Clip 1,723288,first,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,H,Y,H,Y,H,4,H,M,H,M,3,M,M,M,3,M,M,M,M,3,M,M,L,M,M,2,M,M,M,3,M,L,L,3,M,M,H,1,L,L,L
723288 Clip 2,723288,last,6-BaseEvaluator-Validate-timestamped-data-g-20-flash,Y,M,Y,M,Y,L,4,H,M,H,M,3,M,M,M,3,M,M,L,L,3,L,M,L,M,M,2,L,M,M,3,L,L,L,3,M,M,M,1,M,M,M
