base_id,clip_number,model_name
492108,first,BaseEvaluator
361337,last,BaseEvaluator
256776,first,BaseEvaluator
1104488,first,BaseEvaluator
259358,last,BaseEvaluator
361337,first,BaseEvaluator
1104488,last,BaseEvaluator
358317,last,BaseEvaluator
259358,first,BaseEvaluator
492108,last,BaseEvaluator
393322,last,BaseEvaluator
415992,first,BaseEvaluator
416594,last,BaseEvaluator
237990,first,BaseEvaluator
237990,last,BaseEvaluator
238089,last,BaseEvaluator
283416,first,BaseEvaluator
283416,last,BaseEvaluator
283598,first,BaseEvaluator
283598,last,BaseEvaluator
411355,first,BaseEvaluator
411355,last,BaseEvaluator
226480,first,BaseEvaluator
226480,last,BaseEvaluator
306753,first,BaseEvaluator
306753,last,BaseEvaluator
312793,first,BaseEvaluator
312793,last,BaseEvaluator
320978,first,BaseEvaluator
321356,first,BaseEvaluator
723288,first,BaseEvaluator
723288,last,BaseEvaluator
1126747,first,BaseEvaluator
1422534,last,BaseEvaluator
1597251,first,BaseEvaluator
1597251,last,BaseEvaluator
383760,first,BaseEvaluator
383760,last,BaseEvaluator
389163,first,BaseEvaluator
389817,last,BaseEvaluator
444869,last,BaseEvaluator
447268,first,BaseEvaluator
447789,first,BaseEvaluator
556704,first,BaseEvaluator
556704,last,BaseEvaluator
588111,first,BaseEvaluator
588111,last,BaseEvaluator
652768,last,BaseEvaluator
784199,first,BaseEvaluator
1109818,first,BaseEvaluator
1109818,last,BaseEvaluator
207258,first,BaseEvaluator
232512,first,BaseEvaluator
233692,first,BaseEvaluator
408856,last,BaseEvaluator
410712,first,BaseEvaluator
410712,last,BaseEvaluator
486621,last,BaseEvaluator
487124,first,BaseEvaluator
587147,first,BaseEvaluator
587147,last,BaseEvaluator
688242,last,BaseEvaluator
818856,first,BaseEvaluator
292714,first,BaseEvaluator
292714,last,BaseEvaluator
292730,first,BaseEvaluator
425983,last,BaseEvaluator
515916,first,BaseEvaluator
541433,first,BaseEvaluator
596775,first,BaseEvaluator
596775,last,BaseEvaluator
624247,first,BaseEvaluator
1176106,first,BaseEvaluator
1176106,last,BaseEvaluator
1551092,first,BaseEvaluator
1551092,last,BaseEvaluator
712950,first,BaseEvaluator
379859,first,BaseEvaluator
381855,first,BaseEvaluator
382242,first,BaseEvaluator
382242,last,BaseEvaluator
420703,last,BaseEvaluator
428953,first,BaseEvaluator
428953,last,BaseEvaluator
808147,first,BaseEvaluator
808147,last,BaseEvaluator
829457,first,BaseEvaluator
829457,last,BaseEvaluator
268367,first,BaseEvaluator
268367,last,BaseEvaluator
268516,last,BaseEvaluator
690867,first,BaseEvaluator
269779,first,BaseEvaluator
269779,last,BaseEvaluator
269860,last,BaseEvaluator
269910,first,BaseEvaluator
269910,last,BaseEvaluator
351775,first,BaseEvaluator
351775,last,BaseEvaluator
357848,last,BaseEvaluator
512160,last,BaseEvaluator
746602,last,BaseEvaluator
838565,last,BaseEvaluator
208751,last,BaseEvaluator
1164664,first,BaseEvaluator
1164664,last,BaseEvaluator
1166503,first,BaseEvaluator
758128,first,BaseEvaluator
758128,last,BaseEvaluator
263442,first,BaseEvaluator
263673,last,BaseEvaluator
263772,first,BaseEvaluator
455840,last,BaseEvaluator
515650,first,BaseEvaluator
515650,last,BaseEvaluator
860783,last,BaseEvaluator
661033,first,BaseEvaluator
661033,last,BaseEvaluator
